Subcuenca,TR=10,TR=30,TR=50,TR=100
1,56.93032147,83.61897009,95.80248912,112.2359049
2,82.03831806,121.2302783,139.1216298,163.2539036
3,80.95108981,121.6107473,140.1721109,165.2081127
4,88.48161981,131.6043539,151.2901259,177.8427561
5,80.14813196,114.7424537,130.5349572,151.8362556
6,69.72452741,98.50752269,111.6471228,129.3701231
7,77.99337131,111.5012222,126.7977457,147.4300546
8,52.81350486,73.47080781,82.90098343,95.62062511
9,67.1764785,92.79216689,104.4858735,120.2586188
10,68.75181936,95.9699819,108.395227,125.1546886
11,57.9603009,82.82486285,94.175676,109.4859185
12,68.75181936,95.9699819,108.395227,125.1546886
13,57.50875447,80.35098705,90.77859542,104.8435977
14,50.29834735,72.0957163,82.04633851,95.46797072
15,34.09687597,49.7163562,56.84673726,66.46436218
16,43.54755183,62.9630382,71.82631754,83.78131623
17,42.20542395,60.88020758,69.40535193,80.90426622
18,26.09415514,37.41229336,42.57908747,49.54818035
